NEXT_PTS,NEXT_AST,NEXT_REB,NEXT_BLK,NEXT_STL,NEXT_TOV,NEXT_MIN,NEXT_FG3M,NEXT_FGA,NEXT_FTA,NEXT_FG_PCT,NEXT_FT_PCT
5.0,0.6,4.6,0.5,0.3,0.6,13.9,0.0,3.7,1.2,0.558,0.723
15.0,1.1,4.0,0.4,1.0,0.9,26.3,2.5,12.3,2.5,0.44,0.667
20.3,1.1,5.2,0.4,1.4,1.3,32.2,2.3,17.1,4.3,0.431,0.76
15.4,1.5,5.0,0.7,1.1,1.3,30.2,1.5,12.9,3.4,0.441,0.75
26.8,4.8,5.0,0.4,1.1,2.4,34.5,2.7,20.9,5.3,0.466,0.868
27.8,5.5,4.5,0.3,1.0,2.7,34.6,2.1,20.1,6.8,0.494,0.855
27.1,6.9,4.5,0.4,0.9,2.6,36.0,2.2,19.2,6.7,0.492,0.886
10.8,4.9,3.0,0.3,0.7,1.8,22.0,1.2,10.1,1.5,0.409,0.843
10.3,4.5,2.2,0.2,0.7,1.7,20.2,1.4,9.4,1.3,0.415,0.766
7.4,2.6,1.5,0.1,0.5,0.8,16.7,1.3,6.2,0.9,0.432,0.866
12.9,1.0,7.1,2.8,0.7,1.3,29.4,1.5,9.4,2.5,0.509,0.752
18.0,1.4,7.5,2.3,0.6,1.7,29.4,1.5,11.8,4.5,0.548,0.783
17.1,1.3,6.9,1.9,0.5,1.4,27.0,1.5,11.8,4.1,0.524,0.773
10.5,1.2,5.1,0.4,0.4,1.0,20.5,0.9,7.5,3.2,0.466,0.802
7.6,0.9,4.1,0.4,0.4,0.9,16.9,1.2,5.5,1.7,0.458,0.815
7.2,1.2,4.4,0.3,0.3,0.7,20.0,1.4,5.5,1.2,0.445,0.7
14.6,1.2,9.1,0.7,0.7,1.3,28.2,1.8,12.1,1.6,0.479,0.752
14.1,1.5,9.6,0.2,0.4,1.2,26.0,1.4,11.5,1.8,0.496,0.768
13.8,1.3,7.4,0.4,0.8,1.1,24.5,1.2,11.2,1.5,0.508,0.79
6.0,2.0,7.3,0.6,0.6,0.8,21.1,0.0,4.4,1.5,0.571,0.6
7.0,2.5,9.3,0.6,0.6,0.5,23.9,0.0,4.7,1.9,0.63,0.606
4.5,1.8,5.7,0.4,0.4,0.7,16.1,0.0,3.1,1.1,0.597,0.675
19.3,4.5,4.3,0.3,1.3,1.3,33.7,3.0,16.0,2.4,0.444,0.852
21.1,5.1,4.1,0.3,1.2,2.1,35.3,2.6,18.9,3.5,0.415,0.809
19.8,5.6,4.0,0.3,1.0,1.7,33.4,2.4,16.4,3.2,0.443,0.869
19.0,2.1,3.2,0.5,0.9,1.5,32.4,2.4,13.4,5.2,0.461,0.811
17.0,1.8,2.9,0.3,0.8,1.7,26.1,1.9,11.8,4.6,0.479,0.812
